Series Name;Country Name;2020 [YR2020]
Exports of goods and services;Afghanistan;10.2081714
Exports of goods and services;Albania;22.65778961
Exports of goods and services;Algeria;15.53520111
Exports of goods and services;American Samoa;59.22330097
Exports of goods and services;Angola;38.31454074
Exports of goods and services;Antigua and Barbuda;41.91092501
Exports of goods and services;Argentina;16.60541444
Exports of goods and services;Armenia;29.76498692
Exports of goods and services;Aruba;55.32681001
Exports of goods and services;Australia;23.96737274
Exports of goods and services;Austria;51.8494694
Exports of goods and services;Azerbaijan;35.62355587
